Date,Value
6/24/15,3.961
6/25/15,4.517
6/26/15,7.618
6/27/15,10.244
6/28/15,11.652
6/29/15,11.767
6/30/15,11.071
7/1/15,10.033
7/2/15,2.795
7/3/15,5.023
7/4/15,8.633
7/5/15,6.077
7/6/15,4.895
7/7/15,2.398
7/8/15,2.202
7/9/15,8.702
7/10/15,9.088
7/11/15,8.272
7/12/15,3.661
7/13/15,9.803
7/14/15,9.514
7/15/15,4.066
7/16/15,3.857
7/17/15,3.392
7/18/15,13.062
7/19/15,12.575
7/20/15,10.882
7/21/15,10.167
7/22/15,5.383
7/23/15,7.083
7/24/15,2.629
7/25/15,10.873
7/26/15,12.625
7/27/15,12.921
7/28/15,14.358
7/29/15,13.752
7/30/15,13.896
7/31/15,14.043
8/1/15,12.524
8/2/15,13.823
8/3/15,14.182
8/4/15,13.109
8/5/15,10.612
8/6/15,13.012
8/7/15,13.952
8/8/15,13.589
8/9/15,13.528
8/10/15,13.411
8/11/15,13.136
8/12/15,14.392
8/13/15,14.732
8/14/15,13.183
8/15/15,14.070
8/16/15,13.838
8/17/15,13.634
8/18/15,11.687
8/19/15,11.166
8/20/15,6.635
8/21/15,10.768
8/22/15,11.871
8/23/15,3.965
8/24/15,4.095
8/25/15,4.770
8/26/15,9.356
8/27/15,8.164
8/28/15,16.567
8/29/15,16.441
8/30/15,16.789
8/31/15,16.880
9/1/15,14.560
9/2/15,5.013
9/3/15,1.867
9/4/15,9.463
9/5/15,10.387
9/6/15,4.130
9/7/15,10.910
9/8/15,2.303
9/9/15,12.331
9/10/15,5.364
9/11/15,7.450
9/12/15,9.465
9/13/15,13.054
9/14/15,18.794
9/15/15,14.903
9/16/15,16.761
9/17/15,15.804
9/18/15,15.300
9/19/15,15.554
9/20/15,16.372
9/21/15,17.400
9/22/15,15.633
9/23/15,18.162
9/24/15,18.218
9/25/15,5.963
9/26/15,5.167
9/27/15,6.395
9/28/15,18.768
9/29/15,16.194
9/30/15,6.522
10/1/15,7.505
10/2/15,14.160
10/3/15,9.370
10/4/15,9.732
10/5/15,9.013
10/6/15,16.655
10/7/15,20.145
10/8/15,15.202
10/9/15,7.785
10/10/15,11.670
10/11/15,4.324
10/12/15,5.926
10/13/15,9.578
10/14/15,17.900
10/15/15,20.358
10/16/15,13.199
10/17/15,7.093
10/18/15,7.609
10/19/15,18.113
10/20/15,17.033
10/21/15,11.134
10/22/15,2.268
10/23/15,9.531
10/24/15,7.208
10/25/15,6.129
10/26/15,5.417
10/27/15,10.957
10/28/15,13.701
